NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF;

// Declension for special cases in Irish - this file contains tags so that it will work with the RulePackDefs where Labels include colour info.
// Declension for special cases in Irish
// NOM: Nominative Singular (e.g., fear)
// 1_GEN_SG: Genitive Singular (with article) (e.g., an fhir)
// 2_GEN_PL: Genitive Plural (optional, with article) (e.g., na bhfear)
// 3_NOM_DEF: Definite Nominative Singular (with article) (e.g., an fear)

// DefInjected\FactionDef
<color=#D09B61FF><color=#D09B61FF>coilínigh</color></color>;;<color=#D09B61FF><color=#D09B61FF>na gcoilíneach</color></color>;;
<color=#D09B61FF><color=#D09B61FF>feithidí</color></color>;;<color=#D09B61FF><color=#D09B61FF>na bhfeithidí</color></color>;;
<color=#D09B61FF><color=#D09B61FF>lonnaitheoir</color></color>;<color=#D09B61FF><color=#D09B61FF>an lonnaitheoir</color></color>;<color=#D09B61FF><color=#D09B61FF>na lonnaitheoirí</color></color>;<color=#D09B61FF><color=#D09B61FF>an lonnaitheora</color></color>;
<color=#D09B61FF><color=#D09B61FF>lonnaitheoirí</color></color>;;<color=#D09B61FF><color=#D09B61FF>na lonnaitheoirí</color></color>;;
<color=#D09B61FF><color=#D09B61FF>meicea-róbat</color></color>;<color=#D09B61FF><color=#D09B61FF>an meicea-róbat</color></color>;<color=#D09B61FF><color=#D09B61FF>na meicea-róbat</color></color>;<color=#D09B61FF><color=#D09B61FF>an mheicea-róbait</color></color>;
<color=#D09B61FF><color=#D09B61FF>píoráidí</color></color>;;<color=#D09B61FF><color=#D09B61FF>na bpíoráidí</color></color>;;
<color=#D09B61FF><color=#D09B61FF>seanóir</color></color>;;<color=#D09B61FF><color=#D09B61FF>na seanóirí</color></color>;;
<color=#D09B61FF><color=#D09B61FF>treabhaithe</color></color>;;<color=#D09B61FF><color=#D09B61FF>na dtreabhaithe</color></color>;;

// DefInjected\PawnKindDef
<color=#D09B61FF>aithríoch</color>;<color=#D09B61FF>an aithrígh</color>;<color=#D09B61FF>na n-aithríoch</color>;<color=#D09B61FF>an t-aithríoch</color>;
<color=#D09B61FF>alfabéabhar</color>;<color=#D09B61FF>an alfabéabhair</color>;<color=#D09B61FF>na n-alfabéabhar</color>;<color=#D09B61FF>an t-alfabéabhar</color>;
<color=#D09B61FF>alpaca</color>;<color=#D09B61FF>an alpaca</color>;<color=#D09B61FF>na n-alpaca</color>;<color=#D09B61FF>an t-alpaca</color>;
<color=#D09B61FF>asal</color>;<color=#D09B61FF>an asail</color>;<color=#D09B61FF>na n-asal</color>;<color=#D09B61FF>an t-asal</color>;
<color=#D09B61FF>asal óg</color>;<color=#D09B61FF>an asal óig</color>;<color=#D09B61FF>na n-asal óg</color>;<color=#D09B61FF>an t-asal óg</color>;
<color=#D09B61FF>ball</color>;<color=#D09B61FF>an bhaill</color>;<color=#D09B61FF>na mball</color>;<color=#D09B61FF>an ball</color>;
<color=#D09B61FF>béar bán</color>;<color=#D09B61FF>an bhéar bháin</color>;<color=#D09B61FF>na mbéar bán</color>;<color=#D09B61FF>an béar bán</color>;
<color=#D09B61FF>bó</color>;<color=#D09B61FF>na bó</color>;<color=#D09B61FF>na mbó</color>;<color=#D09B61FF>an bhó</color>;
<color=#D09B61FF>bó óg</color>;<color=#D09B61FF>na bó óige</color>;<color=#D09B61FF>na mbó óg</color>;<color=#D09B61FF>an bhó óg</color>;
<color=#D09B61FF>boghdóir</color>;<color=#D09B61FF>an bhoghdóra</color>;<color=#D09B61FF>na mboghdóir</color>;<color=#D09B61FF>an boghdóir</color>;
<color=#D09B61FF>boghdóir trom</color>;<color=#D09B61FF>an bhoghdóra throm</color>;<color=#D09B61FF>na mboghdóirí troma</color>;<color=#D09B61FF>an boghdóir trom</color>;
<color=#D09B61FF>brocaire Yorkshire</color>;<color=#D09B61FF>an bhrocair Yorkshire</color>;<color=#D09B61FF>na mbrocairí Yorkshire</color>;<color=#D09B61FF>an brocaire Yorkshire</color>;
<color=#D09B61FF>búmalóp óg</color>;<color=#D09B61FF>an bhúmalóip óig</color>;<color=#D09B61FF>na mbúmalóp óg</color>;<color=#D09B61FF>an bhúmalóp óg</color>;
<color=#D09B61FF>búmfhrancach</color>;<color=#D09B61FF>an bhúmfhrancaigh</color>;<color=#D09B61FF>na mbúmfhrancach</color>;<color=#D09B61FF>an bhúmfhrancach</color>;
<color=#D09B61FF>caora</color>;<color=#D09B61FF>na caorach</color>;<color=#D09B61FF>na gcaorach</color>;<color=#D09B61FF>an chaora</color>;
<color=#D09B61FF>capabára</color>;<color=#D09B61FF>an chapabára</color>;<color=#D09B61FF>na gcapabára</color>;<color=#D09B61FF>an chapabára</color>;
<color=#D09B61FF>capall</color>;<color=#D09B61FF>an chapaill</color>;<color=#D09B61FF>na gcapall</color>;<color=#D09B61FF>an capall</color>;
<color=#D09B61FF>carabú</color>;<color=#D09B61FF>an charabú</color>;<color=#D09B61FF>na gcarabú</color>;<color=#D09B61FF>an charabú</color>;
<color=#D09B61FF>carabú óg</color>;<color=#D09B61FF>an charabú óig</color>;<color=#D09B61FF>na gcarabú óg</color>;<color=#D09B61FF>an charabú óg</color>;
<color=#D09B61FF>casabhara</color>;<color=#D09B61FF>an chasabhara</color>;<color=#D09B61FF>na gcasabhara</color>;<color=#D09B61FF>an chasabhara</color>;
<color=#D09B61FF>cat</color>;<color=#D09B61FF>an chait</color>;<color=#D09B61FF>na gcat</color>;<color=#D09B61FF>an cat</color>;
<color=#D09B61FF>céadchosach gunnadóireachta</color>;<color=#D09B61FF>an chéadchosaigh</color>;<color=#D09B61FF>na gcéadchosach</color>;<color=#D09B61FF>an chéadchosach</color>;
<color=#D09B61FF>céadchosach loiscneach</color>;<color=#D09B61FF>an chéadchosaigh</color>;<color=#D09B61FF>na gcéadchosach</color>;<color=#D09B61FF>an chéadchosach</color>;
<color=#D09B61FF>céadchosach phléascach</color>;<color=#D09B61FF>an chéadchosaigh</color>;<color=#D09B61FF>na gcéadchosach</color>;<color=#D09B61FF>an chéadchosach</color>;
<color=#D09B61FF>ceannaire</color>;<color=#D09B61FF>an cheannaire</color>;<color=#D09B61FF>na gceannairí</color>;<color=#D09B61FF>an ceannaire</color>;
<color=#D09B61FF>ceannaire boghdóra</color>;<color=#D09B61FF>an cheannaire bhoghdóra</color>;<color=#D09B61FF>na ceannairí boghdóra</color>;<color=#D09B61FF>an ceannaire boghdóra</color>;
<color=#D09B61FF>ceannaire sléachta</color>;<color=#D09B61FF>an cheannaire sléachta</color>;<color=#D09B61FF>na ceannairí sléachta</color>;<color=#D09B61FF>an ceannaire sléachta</color>;
<color=#D09B61FF>cóbra</color>;<color=#D09B61FF>an chóbair</color>;<color=#D09B61FF>na gcoibre</color>;<color=#D09B61FF>an cóbra</color>;
<color=#D09B61FF>coileán brocaire Yorkshire</color>;<color=#D09B61FF>an choileán brocair Yorkshire</color>;<color=#D09B61FF>na coileáin brocaire Yorkshire</color>;<color=#D09B61FF>an coileán brocaire Yorkshire</color>;
<color=#D09B61FF>coileán huscaí</color>;<color=#D09B61FF>an choileán huscaí</color>;<color=#D09B61FF>na coileáin huscaí</color>;<color=#D09B61FF>an coileán huscaí</color>;
<color=#D09B61FF>coileán labradóir</color>;<color=#D09B61FF>an choileán labradóir</color>;<color=#D09B61FF>na coileáin labradóir</color>;<color=#D09B61FF>an coileán labradóir</color>;
<color=#D09B61FF>coilíneach</color>;<color=#D09B61FF>an choilínigh</color>;<color=#D09B61FF>na coilíneach</color>;<color=#D09B61FF>an coilíneach</color>;
<color=#D09B61FF>comhairleoir</color>;<color=#D09B61FF>an chomhairleora</color>;<color=#D09B61FF>na gcomhairleoirí</color>;<color=#D09B61FF>an comhairleoir</color>;
<color=#D09B61FF>dromadaire</color>;<color=#D09B61FF>an dromadair</color>;<color=#D09B61FF>na ndromadaire</color>;<color=#D09B61FF>an dromadaire</color>;
<color=#D09B61FF>dromadaire óg</color>;<color=#D09B61FF>an dromadair óg</color>;<color=#D09B61FF>na ndromadaire óg</color>;<color=#D09B61FF>an dromadaire óg</color>;
<color=#D09B61FF>duine as an sráidbhaile</color>;<color=#D09B61FF>an duine as an tsráidbhaile</color>;<color=#D09B61FF>na daoine as an tsráidbhaile</color>;<color=#D09B61FF>an duine as an sráidbhaile</color>;
<color=#D09B61FF>éamú</color>;<color=#D09B61FF>an éamaithe</color>;<color=#D09B61FF>na n-éamú</color>;<color=#D09B61FF>an t-éamú</color>;
<color=#D09B61FF>eilifint</color>;<color=#D09B61FF>an eilifint</color>;<color=#D09B61FF>na n-eilifintí</color>;<color=#D09B61FF>an eilifint</color>;
<color=#D09B61FF>eilifint óg</color>;<color=#D09B61FF>an eilifint óg</color>;<color=#D09B61FF>na n-eilifintí óg</color>;<color=#D09B61FF>an eilifint óg</color>;
<color=#D09B61FF>fánaí</color>;<color=#D09B61FF>an fhánaí</color>;<color=#D09B61FF>na bhfánaí</color>;<color=#D09B61FF>an fánaí</color>;
<color=#D09B61FF>fear fiáin</color>;<color=#D09B61FF>an fear fhiáin</color>;<color=#D09B61FF>na bhfear fiáin</color>;<color=#D09B61FF>an fear fiáin</color>;
<color=#D09B61FF>fia</color>;<color=#D09B61FF>an fhia</color>;<color=#D09B61FF>na bhfia</color>;<color=#D09B61FF>an fia</color>;
<color=#D09B61FF>fia mór</color>;<color=#D09B61FF>an fhia mhóir</color>;<color=#D09B61FF>na bhfia móra</color>;<color=#D09B61FF>an fia mór</color>;
<color=#D09B61FF>fia óg</color>;<color=#D09B61FF>an fhia óig</color>;<color=#D09B61FF>na bhfia óga</color>;<color=#D09B61FF>an fia óg</color>;
<color=#D09B61FF>francach</color>;<color=#D09B61FF>an francaigh</color>;<color=#D09B61FF>na mbrancach</color>;<color=#D09B61FF>an francach</color>;
<color=#D09B61FF>gadhar</color>;<color=#D09B61FF>an ghadhar</color>;<color=#D09B61FF>na ngadhar</color>;<color=#D09B61FF>an gadhar</color>;
<color=#D09B61FF>gadhar óg</color>;<color=#D09B61FF>an ghadhar óg</color>;<color=#D09B61FF>na ngadhar óg</color>;<color=#D09B61FF>an gadhar óg</color>;
<color=#D09B61FF>gallóglach éilíte</color>;<color=#D09B61FF>an ghallóglach éilíte</color>;<color=#D09B61FF>na ngallóglach éilíte</color>;<color=#D09B61FF>an gallóglach éilíte</color>;
<color=#D09B61FF>gallóglach gunnadóra</color>;<color=#D09B61FF>an ghallóglach ghunnadóra</color>;<color=#D09B61FF>na ngallóglach gunnadóra</color>;<color=#D09B61FF>an gallóglach gunnadóra</color>;
<color=#D09B61FF>gallóglach sléachta</color>;<color=#D09B61FF>an ghallóglach sléachta</color>;<color=#D09B61FF>na ngallóglach sléachta</color>;<color=#D09B61FF>an gallóglach sléachta</color>;
<color=#D09B61FF>gallóglach snípéara</color>;<color=#D09B61FF>an ghallóglach shnípéara</color>;<color=#D09B61FF>na ngallóglach snípéara</color>;<color=#D09B61FF>an gallóglach snípéara</color>;
<color=#D09B61FF>gallóglach trom</color>;<color=#D09B61FF>an ghallóglach troime</color>;<color=#D09B61FF>na ngallóglach troma</color>;<color=#D09B61FF>an gallóglach trom</color>;
