NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF;

// Declension for special cases in Irish
// NOM: Nominative Singular (e.g., fear)
// 1_GEN_SG: Genitive Singular (with article) (e.g., an fhir)
// 2_GEN_PL: Genitive Plural (optional, with article) (e.g., na bhfear)
// 3_NOM_DEF: Definite Nominative Singular (with article) (e.g., an fear)

// DefInjected\FactionDef\* (\w+\.pawnsPlural)
coilínigh;;na gcoilíneach;;
feithidí;;na bhfeithidí;;
lonnaitheoir;an lonnaitheoir;na lonnaitheoirí;an lonnaitheora;
lonnaitheoirí;;na lonnaitheoirí;;
meicea-róbat;an meicea-róbat;na meicea-róbat;an mheicea-róbait;
píoráidí;;na bpíoráidí;;
seanóir;;na seanóirí;;
treabhaithe;;na dtreabhaithe;;

// DefInjected\PawnKindDef\* (.+\.label)
aithríoch;an aithrígh;na n-aithríoch;an t-aithríoch;
alfabéabhar;an alfabéabhair;na n-alfabéabhar;an t-alfabéabhar;
alpaca;an alpaca;na n-alpaca;an t-alpaca;
asal;an asail;na n-asal;an t-asal;
asal óg;an asal óig;na n-asal óg;an t-asal óg;
ball;an bhaill;na mball;an ball;
béar bán;an bhéar bháin;na mbéar bán;an béar bán;
bó;na bó;na mbó;an bhó;
bó óg;na bó óige;na mbó óg;an bhó óg;
boghdóir;an bhoghdóra;na mboghdóir;an boghdóir;
boghdóir trom;an bhoghdóra throm;na mboghdóirí troma;an boghdóir trom;
brocaire Yorkshire;an bhrocair Yorkshire;na mbrocairí Yorkshire;an brocaire Yorkshire;
búmalóp óg;an bhúmalóip óig;na mbúmalóp óg;an bhúmalóp óg;
búmfhrancach;an bhúmfhrancaigh;na mbúmfhrancach;an bhúmfhrancach;
caora;na caorach;na gcaorach;an chaora;
capabára;an chapabára;na gcapabára;an chapabára;
capall;an chapaill;na gcapall;an capall;
carabú;an charabú;na gcarabú;an charabú;
carabú óg;an charabú óig;na gcarabú óg;an charabú óg;
casabhara;an chasabhara;na gcasabhara;an chasabhara;
cat;an chait;na gcat;an cat;
céadchosach gunnadóireachta;an chéadchosaigh;na gcéadchosach;an chéadchosach;
céadchosach loiscneach;an chéadchosaigh;na gcéadchosach;an chéadchosach;
céadchosach phléascach;an chéadchosaigh;na gcéadchosach;an chéadchosach;
ceannaire;an cheannaire;na gceannairí;an ceannaire;
ceannaire boghdóra;an cheannaire bhoghdóra;na ceannairí boghdóra;an ceannaire boghdóra;
ceannaire sléachta;an cheannaire sléachta;na ceannairí sléachta;an ceannaire sléachta;
cóbra;an chóbair;na gcoibre;an cóbra;
coileán brocaire Yorkshire;an choileán brocair Yorkshire;na coileáin brocaire Yorkshire;an coileán brocaire Yorkshire;
coileán huscaí;an choileán huscaí;na coileáin huscaí;an coileán huscaí;
coileán labradóir;an choileán labradóir;na coileáin labradóir;an coileán labradóir;
coilíneach;an choilínigh;na coilíneach;an coilíneach;
comhairleoir;an chomhairleora;na gcomhairleoirí;an comhairleoir;
